2026-01-30 01:20:07 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:20:12 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:20:17 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:20:23 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:20:28 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:20:33 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:20:38 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:20:43 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:20:48 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:20:53 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:20:58 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:21:03 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:21:08 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:21:13 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:21:19 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:21:24 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:21:29 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:21:34 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:21:39 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:21:44 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:21:49 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:21:54 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:22:00 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:22:05 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:22:10 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:22:15 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:22:20 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:22:25 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:22:30 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:22:35 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:22:41 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:22:46 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:22:51 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:22:56 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:23:01 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:23:06 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
2026-01-30 01:23:11 | Device: esp32-stable-001 | Location: restaurant-entrance | Motion: NO | Level: Low | Value: 0
